COLLEGE,DEPT,SSTS,CRN,COURSE,SEC,TITLE,PT TRM,CR,DAYS,TIME,LOCATION,SCD OVR,SD,INSM,IP,INSTRUCTOR,PRIMARY,% RESPONSE,SAPR,FEE,FEE DETL,MAX CAP,TERMS
College of Arts and Sciences,BLY,A,13978,BLY101,101,Life Science I,LC1,3.0,MWF,1010  1100,LSLH 0003,,LE,WE,C,C Delaney Tucker,Y,100,,,,155,0
College of Arts and Sciences,BLY,A,13978,BLY101,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,13978,BLY101,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10279,BLY101,102,Life Science I,1,3.0,MWF,1220  1310,LSLH 0003,,LE,WE,C,C Delaney Tucker,Y,100,,,,47,0
College of Arts and Sciences,BLY,A,10279,BLY101,102,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10279,BLY101,102,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10549,BLY101,103,Life Science I,1,3.0,MWF,1535  1625,LSLH 0003,,LE,WE,C,STAFF,,,,,,0,0
College of Arts and Sciences,BLY,A,10549,BLY101,103,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10549,BLY101,103,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10654,BLY101,104,Life Science I,1,3.0,TR,1400  1515,LSLH 0003,,LE,WE,C,J Mata,Y,100,,,,155,0
College of Arts and Sciences,BLY,A,10654,BLY101,104,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10654,BLY101,104,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,11251,BLY101,105,Life Science I,1,3.0,MWF,1325  1415,LSLH 0003,,LE,WE,C,J Howell,Y,100,,,,155,0
College of Arts and Sciences,BLY,A,11251,BLY101,105,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
