COLLEGE,DEPT,SSTS,CRN,COURSE,SEC,TITLE,PT TRM,CR,CONT,DAYS,TIME,LOCATION,SCD OVR,SD,INSM,IP,INSTRUCTOR,INS OVR,PRIMARY,% RESPONSE,SAPR,FEE,FEE DETL,MAX CAP,TERMS
College of Arts and Sciences,BLY,A,20212,BLY101,101,Life Science I,1,3.0,3.0,MWF,1325  1415,LSLH 0003,,LE,WE,C,C Delaney Tucker,,Y,100,,,, 105,0
College of Arts and Sciences,BLY,A,20584,BLY101,102,Life Science I,1,3.0,3.0,MWF,0905  0955,LSLH 0003,,LE,WE,C,C Delaney Tucker,,Y,100,,,, 105,0
College of Arts and Sciences,BLY,A,23832,BLY101,103,Life Science I,1,3.0,3.0,MWF,1220  1310,LSLH 0003,,LE,WE,C,C Delaney Tucker,O,Y,100,,,, 105,0
College of Arts and Sciences,BLY,A,20220,BLY101,501,Life Science I,1,3.0,3.0,T,1800  2030,LSCB 0131,,LE,WE,C,N Hilbun,,Y,100,,,,  30,0
College of Arts and Sciences,BLY,A,20213,BLY101L,750,Life Science I Laboratory,1,1.0,2.0,M,1115  1255,LSCB 0142,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,  24,0
College of Arts and Sciences,BLY,A,20213,BLY101L,750,BLY 101L.750.  WEB BLENDED SECTION.  This course,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,20213,BLY101L,750,reduces the on-campus class time by utilizing electronic,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,20213,BLY101L,750,learning tools.  Requires an additional fee of $35.00.,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,20213,BLY101L,750,On-campus class meetings will be at the scheduled,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,20213,BLY101L,750,times.  USAonline courses are offered in Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,20214,BLY101L,751,Life Science I Laboratory,1,1.0,2.0,M,1115  1255,LSCB 0144,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,  24,0
College of Arts and Sciences,BLY,A,20214,BLY101L,751,BLY 101L.751.  WEB BLENDED SECTION.  This course reduces the,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,20214,BLY101L,751,on-campus class time by utilizing electronic learning tools.,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,20214,BLY101L,751,Requires an additional fee of $35.00.  On-campus class,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,20214,BLY101L,751,meetings will be at the scheduled times.  USAonline courses,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,20214,BLY101L,751,are offered in Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,20215,BLY101L,752,Life Science I Laboratory,1,1.0,2.0,M,1430  1610,LSCB 0142,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,  24,0
College of Arts and Sciences,BLY,A,20215,BLY101L,752,BLY 101L.752.  WEB BLENDED SECTION.  This course reduced the,,,,,,,,,,,,,,,,,,,1
