COLLEGE,DEPT,SSTS,CRN,COURSE,SEC,TITLE,PT TRM,CR,CONT,DAYS,TIME,LOCATION,SCD OVR,SD,INSM,IP,INSTRUCTOR,INS OVR,PRIMARY,% RESPONSE,SAPR,FEE,FEE DETL,MAX CAP,TERMS
College of Arts and Sciences,BLY,A,20198,BLY101,101,Life Science I,1,3.0,3.0,MWF,1325  1415,LSLH 0003,,LE,WE,C,C Delaney Tucker,,Y,100,,,,105,0
College of Arts and Sciences,BLY,A,20565,BLY101,102,Life Science I,1,3.0,3.0,MWF,0905  0955,LSLH 0003,,LE,WE,C,C Delaney Tucker,,Y,100,,,,105,0
College of Arts and Sciences,BLY,A,23721,BLY101,103,Life Science I,1,3.0,3.0,MWF,1220  1310,LSLH 0003,,LE,WE,C,C Delaney Tucker,O,Y,100,,,,105,0
College of Arts and Sciences,BLY,A,20206,BLY101,501,Life Science I,1,3.0,3.0,T,1800  2030,LSCB 0131,,LE,WE,C,N Hilbun,,Y,100,,,,30,0
College of Arts and Sciences,BLY,A,27207,BLY101,801,Life Science I,1,3.0,3.0,TBA,TBA  TBA,TBA,,W,WO,C,C Delaney Tucker,,Y,100,,,,50,0
College of Arts and Sciences,BLY,A,20199,BLY101L,750,Life Science I Laboratory,1,1.0,2.0,M,1115  1255,LSCB 0142,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,20199,BLY101L,750,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,20199,BLY101L,750,time by utilizing electronic learning tools. Requires an,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,20199,BLY101L,750,additional fee of $35.00.  On-campus class meetings will be,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,20199,BLY101L,750,at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,20199,BLY101L,750,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,20200,BLY101L,751,Life Science I Laboratory,1,1.0,2.0,M,1115  1255,LSCB 0144,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,20200,BLY101L,751,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,20200,BLY101L,751,time by utilizing electronic learning tools. Requires an,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,20200,BLY101L,751,additional fee of $35.00.  On-campus class meetings will be,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,20200,BLY101L,751,at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,20200,BLY101L,751,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,20201,BLY101L,752,Life Science I Laboratory,1,1.0,2.0,M,1430  1610,LSCB 0142,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,20201,BLY101L,752,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,20201,BLY101L,752,time by utilizing electronic learning tools. Requires an,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,20201,BLY101L,752,additional fee of $35.00.  On-campus class meetings will be,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,20201,BLY101L,752,at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,20201,BLY101L,752,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,20202,BLY101L,753,Life Science I Laboratory,1,1.0,2.0,M,1430  1610,LSCB 0144,,BB,WB,C,C Delaney Tucker,,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,20202,BLY101L,753,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,20202,BLY101L,753,time by utilizing electronic learning tools. Requires an,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,20202,BLY101L,753,additional fee of $35.00.  On-campus class meetings will be,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,20202,BLY101L,753,at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,20202,BLY101L,753,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,20203,BLY101L,754,Life Science I Laboratory,1,1.0,2.0,T,0800  0940,LSCB 0142,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,20203,BLY101L,754,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,20203,BLY101L,754,time by utilizing electronic learning tools. Requires an,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,20203,BLY101L,754,additional fee of $35.00.  On-campus class meetings will be,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,20203,BLY101L,754,at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,20203,BLY101L,754,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,20204,BLY101L,755,Life Science I Laboratory,1,1.0,2.0,T,0800  0940,LSCB 0144,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,20204,BLY101L,755,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,20204,BLY101L,755,time by utilizing electronic learning tools. Requires an,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,20204,BLY101L,755,additional fee of $35.00.  On-campus class meetings will be,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,20204,BLY101L,755,at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,20204,BLY101L,755,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,20205,BLY101L,756,Life Science I Laboratory,1,1.0,2.0,T,1230  1410,LSCB 0142,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,20205,BLY101L,756,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,20205,BLY101L,756,time by utilizing electronic learning tools. Requires an,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,20205,BLY101L,756,additional fee of $35.00.  On-campus class meetings will be,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,20205,BLY101L,756,at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,20205,BLY101L,756,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,20819,BLY101L,757,Life Science I Laboratory,1,1.0,2.0,T,1230  1410,LSCB 0144,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,20819,BLY101L,757,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,20819,BLY101L,757,time by utilizing electronic learning tools. Requires an,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,20819,BLY101L,757,additional fee of $35.00.  On-campus class meetings will be,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,20819,BLY101L,757,at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,20819,BLY101L,757,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,20820,BLY101L,758,Life Science I Laboratory,1,1.0,2.0,W,1010  1150,LSCB 0142,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,20820,BLY101L,758,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,20820,BLY101L,758,time by utilizing electronic learning tools. Requires an,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,20820,BLY101L,758,additional fee of $35.00.  On-campus class meetings will be,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,20820,BLY101L,758,at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,20820,BLY101L,758,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,20821,BLY101L,759,Life Science I Laboratory,1,1.0,2.0,W,1010  1150,LSCB 0144,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,20821,BLY101L,759,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,20821,BLY101L,759,time by utilizing electronic learning tools. Requires an,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,20821,BLY101L,759,additional fee of $35.00.  On-campus class meetings will be,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,20821,BLY101L,759,at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,20821,BLY101L,759,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,21995,BLY101L,760,Life Science I Laboratory,1,1.0,2.0,W,1430  1610,LSCB 0142,,BB,WB,C,E Itza,,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,21995,BLY101L,760,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,21995,BLY101L,760,time by utilizing electronic learning tools. Requires an,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,21995,BLY101L,760,additional fee of $35.00.  On-campus class meetings will be,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,21995,BLY101L,760,at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,21995,BLY101L,760,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,21999,BLY101L,761,Life Science I Laboratory,1,1.0,2.0,W,1430  1610,LSCB 0144,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,21999,BLY101L,761,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,21999,BLY101L,761,time by utilizing electronic learning tools. Requires an,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,21999,BLY101L,761,additional fee of $35.00.  On-campus class meetings will be,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,21999,BLY101L,761,at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,21999,BLY101L,761,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,20260,BLY101L,762,Life Science I Laboratory,1,1.0,2.0,R,1000  1140,LSCB 0142,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,20260,BLY101L,762,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,20260,BLY101L,762,time by utilizing electronic learning tools. Requires an,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,20260,BLY101L,762,additional fee of $35.00.  On-campus class meetings will be,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,20260,BLY101L,762,at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,20260,BLY101L,762,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,20540,BLY101L,763,Life Science I Laboratory,1,1.0,2.0,R,1000  1140,LSCB 0144,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,20540,BLY101L,763,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,20540,BLY101L,763,time by utilizing electronic learning tools. Requires an,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,20540,BLY101L,763,additional fee of $35.00.  On-campus class meetings will be,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,20540,BLY101L,763,at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,20540,BLY101L,763,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,22249,BLY101L,764,Life Science I Laboratory,1,1.0,2.0,M,1800  1940,LSCB 0142,,BB,WB,C,D Stults,,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,22249,BLY101L,764,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,22249,BLY101L,764,time by utilizing electronic learning tools. Requires an,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,22249,BLY101L,764,additional fee of $35.00.  On-campus class meetings will be,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,22249,BLY101L,764,at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,22249,BLY101L,764,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,22251,BLY101L,765,Life Science I Laboratory,1,1.0,2.0,T,1800  1940,LSCB 0142,,BB,WB,C,C Delaney Tucker,,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,22251,BLY101L,765,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
