COLLEGE,DEPT,SSTS,CRN,COURSE,SEC,TITLE,PT TRM,CR,CONT,DAYS,TIME,LOCATION,SCD OVR,SD,INSM,IP,INSTRUCTOR,INS OVR,PRIMARY,% RESPONSE,SAPR,FEE,FEE DETL,MAX CAP,TERMS
College of Arts and Sciences,BLY,A,13859,BLY101,101,Life Science I,LC1,3.0,3.0,MWF,1010  1100,LSLH 0003,,LE,WE,C,C Delaney Tucker,,Y,100,,,,155,0
College of Arts and Sciences,BLY,A,10271,BLY101,102,Life Science I,1,3.0,3.0,MWF,1220  1310,LSLH 0003,,LE,WE,C,C Delaney Tucker,O,Y,100,,,,58,0
College of Arts and Sciences,BLY,A,10523,BLY101,103,Life Science I,1,3.0,3.0,MWF,1535  1625,LSLH 0003,,LE,WE,C,STAFF,,,,,,,0,0
College of Arts and Sciences,BLY,A,10620,BLY101,104,Life Science I,1,3.0,3.0,TR,1400  1515,LSLH 0003,,LE,WE,C,J Mata,,Y,100,,,,155,0
College of Arts and Sciences,BLY,A,10620,BLY101,104,Cross-listed with PSG 090.159. Credit cannot be received for,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10620,BLY101,104,both BLY 101.104 and PSG 090.159.,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,11212,BLY101,105,Life Science I,1,3.0,3.0,MWF,1325  1415,LSLH 0003,,LE,WE,C,J Howell,O,Y,100,,,,155,0
College of Arts and Sciences,BLY,A,13860,BLY101,106,Life Science I,LC1,3.0,3.0,MWF,1220  1310,LSLH 0003,O,LE,WE,C,C Delaney Tucker,O,Y,100,,,,64,0
College of Arts and Sciences,BLY,A,10698,BLY101,501,Life Science I,1,3.0,3.0,T,1800  2030,LSCB 0131,,LE,WE,C,N Hilbun,,Y,100,,,,30,0
College of Arts and Sciences,BLY,A,10272,BLY101L,751,Life Science I Laboratory,1,1.0,2.0,M,1325  1505,LSCB 0144,,BB,WB,C,C Delaney Tucker,,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10272,BLY101L,751,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10272,BLY101L,751,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10272,BLY101L,751,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10272,BLY101L,751,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10272,BLY101L,751,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10273,BLY101L,752,Life Science I Laboratory,1,1.0,2.0,M,1325  1505,LSCB 0142,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10273,BLY101L,752,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10273,BLY101L,752,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10273,BLY101L,752,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10273,BLY101L,752,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10273,BLY101L,752,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10274,BLY101L,753,Life Science I Laboratory,1,1.0,2.0,M,1535  1715,LSCB 0144,,BB,WB,C,C Delaney Tucker,,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10274,BLY101L,753,WEB BLENDED SECTION.  This course reduces the on-campus,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10274,BLY101L,753,class time by utilizing electronic learning tools.  Requires,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10274,BLY101L,753,additional fee of $35.00.  On-campus class meetings will be,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10274,BLY101L,753,at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10274,BLY101L,753,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10275,BLY101L,754,Life Science I Laboratory,1,1.0,2.0,M,1535  1715,LSCB 0142,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10275,BLY101L,754,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10275,BLY101L,754,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10275,BLY101L,754,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10275,BLY101L,754,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10275,BLY101L,754,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10276,BLY101L,755,Life Science I Laboratory,1,1.0,2.0,T,0800  0940,LSCB 0144,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10276,BLY101L,755,WEB BLENDED SECTION. This course reduces the on-campus class,,,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10276,BLY101L,755,time by utilizing electronic learning tools. Requires,,,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10276,BLY101L,755,an additional fee of $35.00.  On-campus class meetings will,,,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10276,BLY101L,755,be at the scheduled times.  USAonline courses are offered in,,,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10276,BLY101L,755,Canvas.,,,,,,,,,,,,,,,,,,,5
College of Arts and Sciences,BLY,A,10277,BLY101L,756,Life Science I Laboratory,1,1.0,2.0,T,0800  0940,LSCB 0142,,BB,WB,C,C Delaney Tucker,O,Y,100,,15.00,EBLY,24,0
